Rank,School Name,School Sector,Early Career Pay,Mid-Career Pay,% High Meaning,% STEM Degrees
795 (tie),Husson University,Private not-for-profit,37700,55500,N/A,0.02
795 (tie),Jefferson Davis Community College,Public,40600,55500,N/A,0
795 (tie),Minnesota State University Moorhead,Public,38400,55500,N/A,0.07
795 (tie),Nash Community College,Public,39200,55500,N/A,0.04
795 (tie),Shasta College,Public,35800,55500,0.66,0.04
795 (tie),University of Rio Grande,Private not-for-profit,40900,55500,0.7,0.06
804 (tie),Central Lakes College-Brainerd,Public,37100,55400,0.62,0.01
804 (tie),Cleary University,Private not-for-profit,38800,55400,N/A,0.02
804 (tie),Lehigh Carbon Community College,Public,39500,55400,0.57,0.07
804 (tie),North Idaho College,Public,36700,55400,0.59,0.04
804 (tie),Reinhardt University,Private not-for-profit,36600,55400,N/A,0.04
804 (tie),Three Rivers College,Public,35600,55400,0.7,0.01
804 (tie),Valdosta State University,Public,38000,55400,N/A,0.07
804 (tie),Walters State Community College,Public,37900,55400,0.67,0.01
812 (tie),Central Arizona College,Public,38000,55300,N/A,0.02
812 (tie),Colorado Mountain College,Public,39000,55300,0.52,0.02
812 (tie),Forsyth Technical Community College,Public,38400,55300,0.6,0.04
812 (tie),Gateway Technical College,Public,39000,55300,0.63,0.05
812 (tie),Germanna Community College,Public,41000,55300,0.76,0.04
812 (tie),Umpqua Community College,Public,36800,55300,N/A,0
818 (tie),Berkshire Community College,Public,41400,55200,N/A,0.05
818 (tie),Hudson County Community College,Public,36000,55200,0.42,0.08
818 (tie),James Sprunt Community College,Public,36500,55200,N/A,0.17
818 (tie),Louisiana College,Private not-for-profit,38600,55200,N/A,0.04
818 (tie),Roxbury Community College,Public,40400,55200,N/A,0.11
818 (tie),University of Hawaii Maui College,Public,38700,55200,N/A,0
824 (tie),Blackhawk Technical College,Public,39400,55100,0.65,0.04
824 (tie),Chattahoochee Valley Community College,Public,36500,55100,N/A,0.05
824 (tie),City Colleges of Chicago-Malcolm X College,Public,40300,55100,0.73,0
824 (tie),Dakota State University,Public,37600,55100,N/A,0.53
824 (tie),Leeward Community College,Public,34900,55100,N/A,0.06
824 (tie),National Park College,Public,35800,55100,N/A,0.03
824 (tie),New Mexico State University-Dona Ana,Public,35700,55100,0.67,0.06
824 (tie),North Central State College,Public,38200,55100,0.64,0.08
824 (tie),Ohio University-Southern Campus,Public,37400,55100,N/A,0
824 (tie),Pitt Community College,Public,36900,55100,0.72,0.07
824 (tie),West Shore Community College,Public,35700,55100,N/A,0.02
835 (tie),Community College of Allegheny County,Public,39500,55000,0.54,0.06
835 (tie),Daytona State College,Public,38100,55000,0.55,0.06
835 (tie),Eastern Idaho Technical College,Public,36800,55000,N/A,0.16
835 (tie),Erie Community College,Public,38200,55000,0.56,0.07
835 (tie),Fayetteville Technical Community College,Public,35300,55000,0.72,0.06
835 (tie),Indiana University of Pennsylvania-Main Campus,Public,35300,55000,N/A,0.06
835 (tie),Iowa Lakes Community College,Public,37300,55000,0.71,0.01
835 (tie),Ivy Tech Community College,Public,38200,55000,0.6,0.05
835 (tie),Kirkwood Community College,Public,38000,55000,0.62,0.06
835 (tie),The University of West Florida,Public,34900,55000,N/A,0.12
835 (tie),Volunteer State Community College,Public,36700,55000,0.58,0.02
835 (tie),Western Oklahoma State College,Public,38800,55000,N/A,0.04
835 (tie),Wor-Wic Community College,Public,37100,55000,0.65,0.04
848 (tie),Community College of Philadelphia,Public,38100,54900,0.61,0.09
848 (tie),Gateway Community and Technical College,Public,37700,54900,N/A,0.07
848 (tie),Jefferson State Community College,Public,36500,54900,0.67,0.06
848 (tie),Lansing Community College,Public,39300,54900,0.58,0.08
848 (tie),Orangeburg Calhoun Technical College,Public,39700,54900,0.74,0.05
848 (tie),Roane State Community College,Public,38400,54900,0.63,0
848 (tie),Tompkins Cortland Community College,Public,37300,54900,0.67,0.06
848 (tie),Treasure Valley Community College,Public,35100,54900,N/A,0.07
856 (tie),Adirondack Community College,Public,40700,54800,0.6,0.05
856 (tie),Cleveland State Community College,Public,35000,54800,0.61,0.02
856 (tie),Lake Land College,Public,37700,54800,0.55,0.01
856 (tie),Parkland College,Public,38400,54800,0.7,0.06
856 (tie),Stark State College,Public,38800,54800,0.56,0.09
861 (tie),Southcentral Kentucky Community and Technical College,Public,35600,54700,N/A,0.1
861 (tie),Delaware Technical Community College-Terry,Public,37900,54700,N/A,0.05
861 (tie),Lincoln Trail College,Public,36700,54700,N/A,0.11
861 (tie),North Arkansas College,Public,38200,54700,N/A,0.02
861 (tie),North Iowa Area Community College,Public,37700,54700,0.57,0
861 (tie),Northwestern Connecticut Community College,Public,36700,54700,N/A,0
867 (tie),Austin Peay State University,Public,37700,54600,N/A,0.1
867 (tie),Black Hills State University,Public,37300,54600,N/A,0.09
867 (tie),Carl Sandburg College,Public,36700,54600,0.6,0.07
867 (tie),Edison State Community College,Public,40700,54600,0.56,0.1
867 (tie),Johnson & Wales University-Charlotte,Private not-for-profit,33800,54600,0.33,0
867 (tie),Moraine Park Technical College,Public,39300,54600,0.54,0.05
867 (tie),Rend Lake College,Public,38500,54600,0.55,0.01
867 (tie),Santa Fe College,Public,38000,54600,0.61,0.07
875 (tie),Cape Fear Community College,Public,37000,54500,0.67,0.09
875 (tie),College of Central Florida,Public,37200,54500,0.62,0.05
875 (tie),Commonwealth Institute of Funeral Service,Private not-for-profit,35600,54500,N/A,0
875 (tie),Danville Area Community College,Public,39300,54500,0.74,0.02
875 (tie),Dyersburg State Community College,Public,39900,54500,0.59,0.02
875 (tie),Hawaii Community College,Public,34900,54500,0.53,0.03
875 (tie),Hopkinsville Community College,Public,36000,54500,N/A,0.03
875 (tie),Johnson & Wales University-North Miami,Private not-for-profit,35300,54500,N/A,0
875 (tie),Kent State University at Ashtabula,Public,41600,54500,N/A,0.03
875 (tie),Kent State University at Salem,Public,36800,54500,N/A,0.03
875 (tie),York Technical College,Public,38000,54500,0.61,0.05
886 (tie),Carl Albert State College,Public,37400,54400,N/A,0.03
886 (tie),Dallas Institute of Funeral Service,Private not-for-profit,37900,54400,N/A,0
886 (tie),Fisher College,Private not-for-profit,39400,54400,0.6,0.03
886 (tie),Hutchinson Community College,Public,36500,54400,0.59,0.02
886 (tie),Luzerne County Community College,Public,37300,54400,0.43,0.04
886 (tie),McHenry County College,Public,37200,54400,0.63,0.02
886 (tie),Roanoke-Chowan Community College,Public,37400,54400,N/A,0.11
886 (tie),Snow College,Public,35200,54400,N/A,0.08
886 (tie),Zane State College,Public,37300,54400,0.57,0.04
895 (tie),Ellsworth Community College,Public,37200,54300,N/A,0.05
895 (tie),Illinois Central College,Public,39400,54300,0.59,0.05
895 (tie),Lassen Community College,Public,37300,54300,N/A,0.01
895 (tie),Southwestern Michigan College,Public,37500,54300,0.34,0.01
899 (tie),Manor College,Private not-for-profit,37500,54200,N/A,0.05
899 (tie),Northwest Florida State College,Public,36400,54200,0.61,0.02
899 (tie),Northwest Technical College,Public,37200,54200,0.58,0.01
899 (tie),Robert Morris University Illinois,Private not-for-profit,35800,54200,0.58,0.05
899 (tie),South Texas College,Public,35500,54200,0.71,0.22
899 (tie),Southwestern Illinois College,Public,36800,54200,0.58,0.05
905 (tie),John Wood Community College,Public,34700,54100,N/A,0.02
905 (tie),Johnston Community College,Public,36400,54100,0.72,0.01
905 (tie),Kent State University at Trumbull,Public,36100,54100,N/A,0.05
905 (tie),Lurleen B Wallace Community College,Public,36400,54100,N/A,0.02
905 (tie),Owensboro Community and Technical College,Public,35400,54100,N/A,0.05
905 (tie),Reading Area Community College,Public,38300,54100,0.57,0.08
905 (tie),Remington College-Tampa Campus,Private not-for-profit,35700,54100,N/A,0.02
905 (tie),Stanly Community College,Public,37900,54100,0.75,0.05
905 (tie),Western Technical College,Public,38600,54100,0.54,0.03
905 (tie),York College Pennsylvania,Private not-for-profit,40600,54100,N/A,0.11
915 (tie),Crowder College,Public,36700,54000,0.63,0.03
915 (tie),North Florida Community College,Public,34300,54000,N/A,0
915 (tie),Ohio University-Chillicothe Campus,Public,39300,54000,N/A,0
918 (tie),Baton Rouge Community College,Public,38400,53900,0.45,0.02
918 (tie),Community College of Beaver County,Public,37900,53900,0.5,0.07
918 (tie),Dalton State College,Public,37400,53900,0.51,0.07
918 (tie),Kirtland Community College,Public,39700,53900,0.63,0
918 (tie),Mansfield University of Pennsylvania,Public,38400,53900,N/A,0.08
918 (tie),Mountain Empire Community College,Public,34100,53900,N/A,0.01
918 (tie),Southern Union State Community College,Public,37800,53900,0.54,0
918 (tie),"Southwestern Community College - Sylva, NC",Public,36000,53900,0.71,0.06
918 (tie),Wisconsin Indianhead Technical College,Public,38500,53900,0.59,0.04
927 (tie),City Colleges of Chicago-Olive-Harvey College,Public,36800,53800,N/A,0
927 (tie),Fulton-Montgomery Community College,Public,37000,53800,N/A,0.03
927 (tie),Henderson Community College,Public,35200,53800,N/A,0.03
927 (tie),"Highland Community College - Freeport, IL",Public,37400,53800,N/A,0.02
931 (tie),Central Maine Community College,Public,35300,53700,0.53,0.06
931 (tie),Coastal Carolina Community College,Public,35600,53700,0.62,0.02
931 (tie),Fox Valley Technical College,Public,39700,53700,0.53,0.04
931 (tie),Indiana Institute of Technology,Private not-for-profit,37200,53700,N/A,0.12
931 (tie),Jackson State Community College,Public,37400,53700,0.66,0.03
931 (tie),Southwest Virginia Community College,Public,37300,53700,0.58,0.03
931 (tie),Wytheville Community College,Public,38000,53700,0.6,0.02
938 (tie),Augusta Technical College,Public,36800,53600,0.63,0.08
938 (tie),Cuyahoga Community College District,Public,39700,53600,0.61,0.02
938 (tie),Lakeshore Technical College,Public,39800,53600,0.55,0.04
938 (tie),Lanier Technical College,Public,36900,53600,0.5,0.06
938 (tie),Metropolitan Community College Area,Public,37100,53600,0.54,0.03
938 (tie),Southern Arkansas University Tech,Public,34000,53600,N/A,0.05
944 (tie),Big Bend Community College,Public,36600,53500,N/A,0.03
944 (tie),Independence University,Private not-for-profit,37200,53500,N/A,0.01
944 (tie),Louisiana State University-Eunice,Public,37600,53500,0.6,0.04
944 (tie),"Middlesex Community College - Middletown, CT",Public,35800,53500,N/A,0.03
944 (tie),New River Community College,Public,36100,53500,0.48,0.03
944 (tie),Ohio State University Agricultural Technical Institute,Public,35500,53500,N/A,0.12
944 (tie),Tidewater Community College,Public,37400,53500,0.61,0.05
951 (tie),Enterprise State Community College,Public,34400,53400,N/A,0.01
951 (tie),Mohave Community College,Public,39500,53400,0.77,0.04
951 (tie),Seminole State College,Public,35000,53400,N/A,0.15
951 (tie),Surry Community College,Public,36100,53400,0.67,0.04
951 (tie),Youngstown State University,Public,37500,53400,0.59,0.18
956 (tie),Barstow Community College,Public,36000,53300,N/A,0.01
956 (tie),Central New Mexico Community College,Public,38300,53300,0.65,0.02
956 (tie),Chesapeake College,Public,39200,53300,0.62,0
956 (tie),Hinds Community College,Public,35400,53300,0.71,0.06
956 (tie),Kansas City Kansas Community College,Public,39400,53300,0.57,0.01
956 (tie),Mid-America College of Funeral Service,Private not-for-profit,35000,53300,N/A,0
956 (tie),Northeast Mississippi Community College,Public,37400,53300,0.49,0.02
956 (tie),Virginia Highlands Community College,Public,34600,53300,N/A,0.01
964 (tie),Chipola College,Public,35500,53200,N/A,0.02
964 (tie),Glen Oaks Community College,Public,36000,53200,N/A,0.03
964 (tie),Morehead State University,Public,38300,53200,N/A,0.08
964 (tie),West Virginia Northern Community College,Public,35900,53200,0.56,0.08
968 (tie),Coffeyville Community College,Public,35000,53100,N/A,0.01
968 (tie),Genesee Community College,Public,36600,53100,0.48,0.02
968 (tie),Northwest Louisiana Technical College,Public,35400,53100,N/A,0.01
968 (tie),Mid-Plains Community College,Public,35400,53100,N/A,0
968 (tie),North Central Michigan College,Public,34600,53100,N/A,0.1
968 (tie),Paul D Camp Community College,Public,37400,53100,N/A,0
968 (tie),Porterville College,Public,35100,53100,N/A,0.03
968 (tie),"Southwestern Community College - Creston, IA",Public,35700,53100,N/A,0.06
968 (tie),Tri-County Community College,Public,34800,53100,N/A,0.01
968 (tie),West Kentucky Community and Technical College,Public,35900,53100,0.72,0.04
978 (tie),Bishop State Community College,Public,38800,53000,0.79,0.02
978 (tie),Black Hawk College,Public,37600,53000,0.45,0
978 (tie),Mount Aloysius College,Private not-for-profit,39000,53000,0.79,0.09
978 (tie),Northwest Mississippi Community College,Public,35200,53000,0.51,0.02
978 (tie),Rockingham Community College,Public,38000,53000,N/A,0.03
978 (tie),Technical College of the Lowcountry,Public,39400,53000,N/A,0.03
978 (tie),Tri-County Technical College,Public,37500,53000,0.54,0.02
978 (tie),West Virginia University at Parkersburg,Public,37800,53000,0.62,0.02
986 (tie),Blue Ridge Community and Technical College,Public,36600,52900,N/A,0.07
986 (tie),Bowling Green State University-Firelands,Public,37700,52900,N/A,0
986 (tie),Flathead Valley Community College,Public,35100,52900,0.67,0.01
986 (tie),Holmes Community College,Public,35300,52900,0.7,0.07
986 (tie),Lake-Sumter State College,Public,35000,52900,N/A,0.03
986 (tie),Mid Michigan Community College,Public,35500,52900,0.59,0.01
986 (tie),Nicolet Area Technical College,Public,36800,52900,N/A,0.07
986 (tie),Oakland City University,Private not-for-profit,36400,52900,N/A,0.03
994 (tie),Bevill State Community College,Public,37700,52800,0.78,0.01
994 (tie),Reedley College,Public,33900,52800,N/A,0.18
996 (tie),Ball State University,Public,39000,52700,0.67,0.07
996 (tie),Eastern Oklahoma State College,Public,37000,52700,N/A,0.08
996 (tie),Robeson Community College,Public,35800,52700,N/A,0.02
999 (tie),Cloud County Community College,Public,34300,52600,N/A,0
999 (tie),Guilford Technical Community College,Public,37000,52600,0.58,0.09
999 (tie),Wabash Valley College,Public,35400,52600,N/A,0
999 (tie),Tallahassee Community College,Public,36600,52600,0.61,0.02
1003 (tie),Gogebic Community College,Public,35000,52500,N/A,0.05
1003 (tie),Murray State University,Public,34600,52500,N/A,0.1
1003 (tie),Northeast Alabama Community College,Public,33900,52500,0.47,0.02
1003 (tie),Pennsylvania Institute of Technology,Private not-for-profit,35700,52500,N/A,0
1003 (tie),Southeast Kentucky Community and Technical College,Public,35700,52500,N/A,0.07
1003 (tie),"Southeastern Community College - West Burlington, IA",Public,37400,52500,N/A,0.04
1003 (tie),Villa Maria College,Private not-for-profit,36200,52500,N/A,0
1003 (tie),Wayne Community College,Public,38100,52500,0.69,0.05
1003 (tie),Wilson Community College,Public,36800,52500,N/A,0.02
1012 (tie),Davidson County Community College,Public,37200,52400,0.76,0.05
1012 (tie),Hazard Community and Technical College,Public,35600,52400,N/A,0.07
1012 (tie),Keystone College,Private not-for-profit,35600,52400,N/A,0.11
1012 (tie),Mineral Area College,Public,34700,52400,0.55,0.01
1012 (tie),Sandhills Community College,Public,36000,52400,0.65,0.04
1012 (tie),University of Northwestern Ohio,Private not-for-profit,35100,52400,0.43,0.02
1018 (tie),Bluegrass Community and Technical College,Public,34800,52300,0.57,0.06
1018 (tie),Central Virginia Community College,Public,34100,52300,0.48,0.01
1018 (tie),Chattahoochee Technical College,Public,36200,52300,0.55,0.13
1018 (tie),Georgia Northwestern Technical College,Public,39100,52300,0.54,0.06
1018 (tie),King University,Private not-for-profit,35700,52300,N/A,0.07
1018 (tie),Mitchell Community College,Public,36800,52300,0.76,0.06
1018 (tie),Randolph Community College,Public,35000,52300,0.59,0.02
1018 (tie),South Arkansas Community College,Public,36400,52300,N/A,0.04
1018 (tie),Southern Regional Technical College,Public,33200,52300,0.58,0.06
1018 (tie),Spokane Falls Community College,Public,35700,52300,0.5,0.06
1028 (tie),"Blue Ridge Community College - Weyers Cave, VA",Public,35900,52200,0.61,0.02
1028 (tie),Clovis Community College,Public,39200,52200,N/A,0.07
1028 (tie),Illinois Valley Community College,Public,37500,52200,0.53,0.02
1028 (tie),Kennebec Valley Community College,Public,38400,52200,0.69,0.04
1028 (tie),University of Northwestern-St Paul,Private not-for-profit,36800,52200,0.56,0.08
1028 (tie),Somerset Community College,Public,33900,52200,0.71,0.08
1028 (tie),Upper Iowa University,Private not-for-profit,36600,52200,N/A,0.02
1035 (tie),Ashland Community and Technical College,Public,35400,52100,N/A,0.04
1035 (tie),Mesabi Range College,Public,35500,52100,N/A,0
1035 (tie),Motlow State Community College,Public,35300,52100,0.52,0
1038 (tie),Lake Region State College,Public,37200,52000,N/A,0
1038 (tie),Northeastern Technical College,Public,35400,52000,N/A,0
1038 (tie),Shawnee Community College,Public,36500,52000,N/A,0.01
1038 (tie),Western Dakota Technical Institute,Public,34300,52000,0.74,0.06
1042 (tie),Hilbert College,Private not-for-profit,36700,51900,N/A,0.04
1042 (tie),Northeastern Junior College,Public,34500,51900,N/A,0
1042 (tie),Richmond Community College,Public,36500,51900,N/A,0.02
1042 (tie),Western Piedmont Community College,Public,34600,51900,0.69,0.02
1046 (tie),Lincoln College,Private not-for-profit,34200,51800,N/A,0
1046 (tie),Weatherford College,Public,39700,51800,0.7,0.02
1048 (tie),Alpena Community College,Public,36000,51700,0.58,0.08
1048 (tie),Boricua College,Private not-for-profit,35700,51700,N/A,0
1048 (tie),Craven Community College,Public,35300,51700,0.69,0.05
1048 (tie),Horry-Georgetown Technical College,Public,37000,51700,0.69,0.02
1048 (tie),Kishwaukee College,Public,38800,51700,0.57,0.02
1048 (tie),Madisonville Community College,Public,38600,51700,0.63,0.14
1048 (tie),Marshalltown Community College,Public,36700,51700,N/A,0.02
1048 (tie),Northwestern Michigan College,Public,35100,51700,0.45,0.04
1048 (tie),West Georgia Technical College,Public,37100,51700,0.6,0.06
1057 (tie),Arkansas Northeastern College,Public,36600,51600,N/A,0
1057 (tie),Central Community College,Public,35200,51600,0.67,0.03
1057 (tie),Edgecombe Community College,Public,37700,51600,N/A,0.01
1057 (tie),Lake Superior State University,Public,35800,51600,N/A,0.12
1057 (tie),Lamar Community College,Public,37200,51600,N/A,0
1062 (tie),Baker College,Private not-for-profit,37000,51500,0.59,0.09
1062 (tie),Cornerstone University,Private not-for-profit,35800,51500,N/A,0.01
1062 (tie),Cowley County Community College,Public,32900,51500,N/A,0.02
1062 (tie),Hawkeye Community College,Public,36900,51500,0.54,0.02
1062 (tie),Meridian Community College,Public,37600,51500,0.78,0.01
1062 (tie),Montcalm Community College,Public,36300,51500,N/A,0.01
1062 (tie),Northeast Community College,Public,36100,51500,0.65,0.06
1062 (tie),Saint Johns River State College,Public,36700,51500,0.47,0.05
1062 (tie),Terra State Community College,Public,36400,51500,0.56,0.04
1062 (tie),Wichita Area Technical College,Public,36700,51500,N/A,0.01
1072 (tie),Butler Community College,Public,36200,51400,0.57,0.04
1072 (tie),J F Drake State Community and Technical College,Public,35100,51400,N/A,0.08
1072 (tie),Lawson State Community College-Birmingham Campus,Public,35600,51400,N/A,0.02
1072 (tie),Nunez Community College,Public,35800,51400,N/A,0
1072 (tie),Shelton State Community College,Public,37200,51400,0.8,0
1077 (tie),Cayuga County Community College,Public,35000,51300,0.58,0.03
1077 (tie),Delta College,Public,37000,51300,0.6,0.02
1077 (tie),Halifax Community College,Public,34100,51300,N/A,0.06
1077 (tie),Westmoreland County Community College,Public,37400,51300,0.45,0.08
1081 (tie),Central Alabama Community College,Public,36500,51200,N/A,0.03
1081 (tie),Elizabethtown Community and Technical College,Public,36400,51200,0.51,0.05
1081 (tie),Northwest State Community College,Public,37700,51200,0.48,0.11
1081 (tie),College of the Ouachitas,Public,34600,51200,N/A,0.02
1081 (tie),Rappahannock Community College,Public,37100,51200,N/A,0.03
1081 (tie),Southwest Texas Junior College,Public,33700,51200,N/A,0.01
1081 (tie),Spartanburg Community College,Public,37800,51200,0.49,0.04
1081 (tie),Thomas College,Private not-for-profit,36600,51200,N/A,0.05
1089 (tie),Copiah-Lincoln Community College,Public,36400,51100,0.7,0.13
1089 (tie),Remington College-Lafayette Campus,Private not-for-profit,35200,51100,N/A,0.08
1091 (tie),Athens Technical College,Public,36900,51000,0.68,0.07
1091 (tie),Beaufort County Community College,Public,35800,51000,N/A,0.04
1091 (tie),Bossier Parish Community College,Public,36100,51000,0.51,0.08
1094 (tie),Columbus Technical College,Public,36800,50900,0.71,0.04
1094 (tie),Northern Michigan University,Public,34700,50900,0.49,0.11
1096 (tie),Mountwest Community and Technical College,Public,34900,50800,N/A,0.06
1096 (tie),Southern Crescent Technical College,Public,34500,50800,0.76,0.03
1096 (tie),Southern State Community College,Public,35100,50800,0.53,0.05
1099 (tie),Community College of Vermont,Public,35100,50700,0.53,0.04
1099 (tie),John A Logan College,Public,37100,50700,0.57,0.03
1099 (tie),Southwestern Oklahoma State University,Public,37400,50700,N/A,0.06
1102 (tie),Brunswick Community College,Public,35700,50500,N/A,0.03
1102 (tie),College of Southern Idaho,Public,37600,50500,0.66,0.08
1102 (tie),University of Akron Wayne College,Public,33200,50500,N/A,0
1105,Cleveland Community College,Public,33600,50400,0.78,0.17
1106,Danville Community College,Public,33700,50300,N/A,0.04
1107 (tie),Butler County Community College,Public,36000,50200,0.64,0.1
1107 (tie),Cedar Valley College,Public,35200,50200,0.66,0.01
1107 (tie),Phillips Community College of the University of Arkansas,Public,32400,50200,N/A,0.01
1110 (tie),Colby-Sawyer College,Private not-for-profit,33900,50100,N/A,0.09
1110 (tie),Isothermal Community College,Public,34300,50100,N/A,0.02
1110 (tie),Rowan-Cabarrus Community College,Public,34700,50100,0.55,0.09
1113 (tie),Alamance Community College,Public,34700,50000,0.62,0.1
1113 (tie),Lenoir Community College,Public,32000,50000,N/A,0.03
1113 (tie),Tiffin University,Private not-for-profit,33300,50000,N/A,0.02
1116 (tie),Chowan University,Private not-for-profit,36300,49900,N/A,0.06
1116 (tie),Western Nebraska Community College,Public,35600,49900,N/A,0.03
1118 (tie),Eastern Shore Community College,Public,35100,49800,N/A,0
1118 (tie),Mississippi Delta Community College,Public,35700,49800,0.68,0.04
1118 (tie),Moberly Area Community College,Public,33600,49800,0.45,0.04
1121 (tie),City Colleges of Chicago-Kennedy-King College,Public,34900,49700,N/A,0.02
1121 (tie),Johnson & Wales University-Denver,Private not-for-profit,33000,49700,N/A,0
1121 (tie),North Georgia Technical College,Public,33200,49700,0.46,0.03
1121 (tie),Southside Virginia Community College,Public,34400,49700,N/A,0.02
1121 (tie),Wayne County Community College District,Public,37400,49700,0.62,0.02
1126 (tie),Central Carolina Community College,Public,35100,49600,0.75,0.03
1126 (tie),Central Carolina Technical College,Public,34800,49600,0.76,0.08
1126 (tie),Kent State University at Stark,Public,34000,49600,N/A,0
1129 (tie),Stevens-Henager College,Private not-for-profit,34300,49500,N/A,0.43
1129 (tie),Wiregrass Georgia Technical College,Public,31100,49500,0.57,0.03
1131 (tie),Allen County Community College,Public,32900,49400,N/A,0.11
1131 (tie),Faulkner University,Private not-for-profit,34200,49400,N/A,0.02
1133 (tie),Cazenovia College,Private not-for-profit,35700,49300,N/A,0.02
1133 (tie),Hodges University,Private not-for-profit,34400,49300,N/A,0.08
1135 (tie),Atlanta Metropolitan State College,Public,32900,49200,N/A,0.03
1135 (tie),State Fair Community College,Public,35700,49200,0.65,0.03
1137 (tie),College of the Albemarle,Public,34600,49100,N/A,0.05
1137 (tie),Gaston College,Public,34200,49100,0.72,0.05
1137 (tie),Hill College,Public,36500,49100,N/A,0.02
1140 (tie),Jones County Junior College,Public,33200,49000,0.6,0.02
1140 (tie),Keiser University-Ft Lauderdale,Private not-for-profit,39100,49000,0.69,0.06
1142 (tie),"Blue Ridge Community College - Flat Rock, NC",Public,34900,48900,N/A,0.04
1142 (tie),Martin Community College,Public,33800,48900,N/A,0.05
1142 (tie),Savannah Technical College,Public,33400,48900,0.71,0.04
1142 (tie),Washington State Community College,Public,34100,48900,N/A,0.05
1146,Georgia Military College,Public,30700,48800,0.5,0.06
1147 (tie),East Central Community College,Public,33800,48700,0.57,0.01
1147 (tie),Herkimer County Community College,Public,34000,48700,0.52,0.03
1147 (tie),Wilkes Community College,Public,33600,48700,0.74,0.05
1150,City Colleges of Chicago-Harold Washington College,Public,33800,48600,0.57,0.05
1151,Northeast State Community College,Public,31600,48500,0.52,0.03
1152 (tie),Lackawanna College,Private not-for-profit,36300,48400,N/A,0
1152 (tie),Piedmont Technical College,Public,33400,48400,0.62,0.03
1152 (tie),Wright State University-Lake Campus,Public,32500,48400,N/A,0.13
1155 (tie),Bainbridge State College,Public,33200,48300,N/A,0.02
1155 (tie),Central Georgia Technical College,Public,32500,48300,0.75,0.09
1155 (tie),South Piedmont Community College,Public,35200,48300,N/A,0.03
1158 (tie),Carteret Community College,Public,33100,48200,N/A,0.05
1158 (tie),Louisiana Delta Community College,Public,33900,48200,N/A,0.01
1160 (tie),Maysville Community and Technical College,Public,32300,48000,N/A,0.03
1160 (tie),Spoon River College,Public,34500,48000,N/A,0.01
1162 (tie),Coastal Pines Technical College,Public,31900,47900,N/A,0.06
1162 (tie),Vance-Granville Community College,Public,33700,47900,0.69,0.03
1164,Spartanburg Methodist College,Private not-for-profit,31500,47800,N/A,0
1165 (tie),Northwest Vista College,Public,33800,47700,0.5,0.09
1165 (tie),Ozarks Technical Community College,Public,34600,47700,0.49,0.07
1167,Atlanta Technical College,Public,33700,47600,0.61,0.04
1168,Black River Technical College,Public,32200,47500,N/A,0.01
1169,Davenport University,Private not-for-profit,34700,47400,0.51,0.09
1170,Ogeechee Technical College,Public,33300,47000,N/A,0.07
1171,Belmont College,Public,35000,46900,0.45,0.07
1172,Haywood Community College,Public,34300,46800,N/A,0.01
1173,Snead State Community College,Public,33500,46400,N/A,0.11
1174,McDowell Technical Community College,Public,33300,46300,N/A,0.01
1175 (tie),James H Faulkner State Community College,Public,31900,45600,0.61,0.04
1175 (tie),Palo Alto College,Public,31000,45600,N/A,0.08
1177,Albany Technical College,Public,30800,45500,N/A,0.03
1178,Pulaski Technical College,Public,32800,45100,0.51,0
1179,Medaille College,Private not-for-profit,30700,44800,N/A,0.03
1180,Bladen Community College,Public,31200,44300,N/A,0.05
1181,Drury University,Private not-for-profit,31500,43900,N/A,0.1
1182 (tie),East Mississippi Community College,Public,30700,43100,N/A,0.08
1182 (tie),South Georgia Technical College,Public,30700,43100,N/A,0.07
1184,Everest University-Tampa,Private not-for-profit,31000,42100,0.71,0.02
1185,Everest University-South Orlando,Private not-for-profit,30000,39600,0.56,0.08
1186,Ultimate Medical Academy-Tampa,Private not-for-profit,28500,39000,0.62,0
